3.35811275,-13.65010381,-0.48622681 -13.59986976,4.34579989,3.65775779
3.64898005,3.08753768,-7.64386159 -8.28587756,-0.16299537,2.94433261
2.45420238,-1.69143453,-8.21190904 -6.74439773,5.37762778,3.64016631
1.43317881,-13.76414414,-15.77357214 -16.38945038,-0.73675241,1.03617445
3.56561635,2.97893185,-7.22812931 -8.12013402,-0.0830711,2.71294124
3.65723713,-7.17452423,4.1876152 -8.26017566,2.63289585,-0.87446706
2.47292087,-8.14217594,-1.7516037 -6.75117062,3.60427122,5.45386833
4.98614353,3.66712192,-6.84831844 -1.41723306,-8.26676248,2.47503793
1.40207857,-6.38357744,-16.38048558 -16.35762328,-7.99485443,1.42412475
-8.25718325,-0.76562973,2.65717999 3.65395924,4.0258332,-7.21596185
0.9150957,3.37443062,-8.20321018 1.48623978,-8.12180517,3.49808763
2.03428819,-8.05117289,-2.00006225 -5.98736951,3.5730266,5.91598717
4.09770067,1.26972395,-13.7370797 -13.77364033,1.14625089,4.05211685
2.20900839,-8.09211124,-1.92795396 -6.27156648,3.587014,5.76048399
4.67393429,3.62524269,-7.08791987 -1.21472129,-8.19043996,2.60229557
1.4296251,-15.81009906,-13.76748036 -16.38615344,1.07681479,-0.65238346
1.42221283,-16.37596695,-10.12578656 -16.3797664,1.44195171,-3.80092783
-7.53145725,2.3260707,-2.30766588 3.29559433,-6.21030481,6.15754908
1.41834412,-16.3827492,-4.55155028 -16.36356534,1.4256251,-9.49230961
-1.78311901,2.28147626,-8.17313161 5.54234008,-6.43726457,3.62553923
4.00891428,-4.38999759,-5.47710357 2.59472439,9.28374726,1.13031455
3.60920535,4.22189917,-7.15164876 -8.1642901,-0.90245671,2.62479625
1.42921931,-16.37931539,-8.06453447 -16.38707235,1.42498598,-5.17914882
2.5615409,-1.41298162,-8.2162619 -6.98844209,4.9633398,3.63975376
3.60460263,5.40058011,-6.88659187 -8.14622636,-1.72011815,2.5469552
-8.1679912,-1.70637119,2.3496878 3.62073872,5.41320763,-6.56419444
-0.45537013,2.83698576,-8.18571243 3.54335314,-7.49813106,3.60962963
-16.34813743,1.36151386,-8.85946099 1.39775963,-16.3247014,-4.02173512
-8.22798832,2.55799137,-1.34294166 3.6455642,-6.99627473,4.8646051
3.62060337,5.04568415,-6.69233829 -8.17091779,-1.45552046,2.39093963
4.21417339,3.64757701,-7.29680146 -0.89830954,-8.24257012,2.70640211
3.52796519,-12.01164258,-0.43667703 -12.0548192,4.36449929,3.55959282
3.64327133,5.0860898,-6.90132182 -8.22125986,-1.49506729,2.51973959
2.46444935,-8.00201484,-1.90318426 -6.67321694,3.53293641,5.65550629
3.75339039,-7.40872222,3.65359111 -0.58880401,2.77491078,-8.26558184
2.34076756,-1.96707154,-8.10921492 -6.47085374,5.78980112,3.59120582
0.9005262,-10.53847179,4.06299565 1.53833035,4.2064432,-10.49025336
4.46582197,-7.32686709,3.61672634 -1.07615862,2.73228278,-8.17896069
-6.40504139,3.50901354,5.99889053 2.34681173,-7.94853497,-2.12860452
-12.47378244,0.2701957,3.8467375 4.32582995,2.4344148,-12.48578436
-16.3820847,1.44471251,-2.339579 1.42530426,-16.28592127,-12.18164958
-2.04400656,2.35503974,-7.92611813 5.86397917,-6.43528987,3.49731592
2.54858558,-1.35850753,-8.21889661 -6.97642983,4.88686018,3.64118531
-8.0157651,0.46081955,3.11099218 3.46453624,2.09808316,-7.76765733
4.36953269,-11.47812512,3.68594521 -11.47331852,3.50791766,-0.51745228
2.31027539,-7.41038714,-2.47495998 -6.106039,3.23411123,6.37731639
4.40518981,3.64590519,-7.27548835 -1.03005381,-8.23650629,2.69799641
-1.06540987,2.63981201,-8.17535125 4.45586613,-7.1673828,3.61607426
3.23363953,0.73313087,-8.19148906 -7.91358408,1.71548447,3.51906937
5.40663397,3.61349662,-6.45444546 -1.69125661,-8.14962093,2.27860493
1.59390698,-7.87489342,3.50845728 0.8277451,3.2287386,-8.19521896
3.22959432,0.47943732,-8.22141487 -7.98595021,2.07267224,3.56520953
3.53596585,-5.38015192,6.58413286 -7.94178403,1.6799734,-2.38656532
3.61787046,5.28441094,-6.91103233 -8.17223116,-1.63835851,2.54775831
-6.37228728,6.10953202,3.48658814 2.34482551,-2.20719749,-7.90456273
4.93845832,-7.00318229,3.6690041 -1.39205554,2.56434128,-8.2742777
-8.02734851,1.85934888,3.5547526 3.27639354,0.62741542,-8.23638548
-8.22189967,-1.86798206,2.44930367 3.64519956,5.6406185,-6.69370102
2.19225012,-7.90724289,3.60090844 0.40093745,3.1729391,-8.27434609
-1.8588923,-7.93719896,2.43751033 5.58007729,3.50059706,-6.62574981
4.92340314,-7.0437231,3.63011984 -1.38810558,2.59203009,-8.19845664
-0.99841412,2.65681613,-8.21186246 4.3606185,-7.20449882,3.63374961
2.57028636,-1.21805335,-8.18264941 -7.03208318,4.68103473,3.62185194
-8.27464347,-1.00364146,2.6084411 3.66624678,4.3776363,-7.12782068
5.22456368,-6.64953748,3.56901726 -1.59201988,2.39416724,-8.0690993
-6.98788963,3.6545101,5.0742685 2.56795989,-8.24540806,-1.48865536
-7.97105372,-1.48182954,2.49526218 3.51639333,5.03693123,-6.82635245
-0.31932846,1.00003231,-16.36735232 -14.09928773,-15.69633248,1.40958604
-8.01660088,-1.23676855,2.63788438 3.53640821,4.68426165,-7.12463894
-9.20661565,1.63944253,4.00749748 3.84096809,0.80886295,-9.308537
-16.3450103,1.42514338,-5.27133023 1.38398238,-16.38054111,-7.62655757
-8.25332161,2.69726766,-0.89301721 3.65306329,-7.2823296,4.20800235
-12.93523133,3.51513449,-0.36102845 4.36067022,-12.94707643,3.44508937
-0.12311861,-16.37252484,0.83324909 -14.37022155,1.41519306,-15.4979332
1.4009647,-16.38034912,-9.92813074 -16.3594774,1.44259035,-4.31587978
2.63837475,-8.07217602,-0.97749105 -7.1606446,3.56299732,4.32033425
3.05622674,0.18040902,-8.15810256 -7.75558055,2.53483478,3.5634117
